instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,P128 [P128-ba5f558d610b]:status,P128 [P128-ba5f558d610b]:successful_repeats,P128 [P128-ba5f558d610b]:result,result_match,P32:matches_reference,P128 [P128-ba5f558d610b]:matches_reference,P32:wall_vs_Concorde_symmetric_change,P128 [P128-ba5f558d610b]:wall_vs_Concorde_symmetric_change,P32:wall_seconds,P128 [P128-ba5f558d610b]:wall_seconds,symmetric_change:wall_seconds,P32:branches,P128 [P128-ba5f558d610b]:branches,symmetric_change:branches,P32:nodes_expanded,P128 [P128-ba5f558d610b]:nodes_expanded,P32:pruned_by_bound,P128 [P128-ba5f558d610b]:pruned_by_bound,P32:pruned_infeasible,P128 [P128-ba5f558d610b]:pruned_infeasible,P32:root_potential_iterations,P128 [P128-ba5f558d610b]:root_potential_iterations,P32:search_node_potential_update_candidates,P128 [P128-ba5f558d610b]:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,P128 [P128-ba5f558d610b]:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,P128 [P128-ba5f558d610b]:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.09395036473870277,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-1.280356965488631,-1.6041042434340347,0.04119984991848469,0.03607780486345291,-0.1419721924440156,29.0,25.0,-0.15999999999999992,9.0,9.0,20.0,16.0,1.0,0.0,100.0,100.0,26.0,22.0,26.0,22.0,0.0,0.0,0.0,332.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.035702209919691086,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-1.1171472166509857,-1.0793566055922201,0.01686335727572441,0.017169835045933723,0.018174184724799813,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04144907183945179,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.5087890647512452,-0.300781434497736,0.027471747249364853,0.031864747405052185,0.15990974712352513,10.0,8.0,-0.25,3.0,2.0,5.0,5.0,3.0,1.0,100.0,100.0,7.0,5.0,7.0,5.0,0.0,0.0,0.0,82.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.06300981901586056,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-1.267908952022271,-1.0364324748843736,0.027783222496509552,0.030941275879740715,0.11366764181613243,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.0997194591909647,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5160023101159319,-0.34230427181218737,0.06577790714800358,0.07428975775837898,0.12940287977273757,88.0,40.0,-1.2000000000000002,26.0,12.0,62.0,28.0,0.0,0.0,120.0,120.0,82.0,36.0,82.0,36.0,0.0,0.0,0.0,1173.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.012333400547504425,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-2.1673487896860704,0.7211227641583919,0.003893919289112091,0.021227296441793442,4.451396103958227,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1650.6027347305765,1263.3492545597087,315.591917976737,241.59466307982802,-0.306286794391889,205952.0,110631.0,-0.8616120255624553,62812.0,33020.0,143850.0,77779.0,0.0,0.0,400.0,400.0,195829.0,105521.0,194122.0,103815.0,1707.0,1706.0,-0.0005861664712778492,3035962.0,2769882.0,0.0,0.0,0.0,0.0,1704.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
ch150.tsp,ok,0.34965579211711884,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,331.7422744363169,415.45241720723413,116.34526353888214,145.6149998176843,0.25157651793036107,60352.0,45333.0,-0.3313039066463723,18041.0,13353.0,42505.0,32031.0,0.0,0.0,400.0,400.0,58114.0,43589.0,57710.0,43184.0,404.0,405.0,0.0024752475247524774,895438.0,1158398.0,0.0,0.0,0.0,0.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dantzig42.tsp,ok,0.031246650964021683,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.13790332974117248,-0.4214687528704055,0.03555566817522049,0.021981947124004364,-0.6174940270142664,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.02440105937421322,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.19124088852354082,-0.5993754726319689,0.020483732223510742,0.015256617218255997,-0.34261297445412753,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
